match 3
1,8114,2668,6838
2,8114,2668,6838
3,7780,9459,9286
6,1638,942,9987
7,7434,3076,2034
8,4754,7290,7927
9,8149,9,3841
10,6742,5750,7199
11,3203,6872,8316
12,5698,9139,3567
16,99,5342,9999
17,9483,4348,5852
18,9218,2306,9264
19,2032,2033,5630
21,1445,2331,798
22,1445,2331,798
23,6251,1295,1296
24,4517,8383,4360
25,8588,9787,7008
26,5940,7157,4201
27,9287,7071,9787
28,6246,9946,5625
32,472,8216,2418
33,6358,218,3713
34,4580,4581,4582
35,4542,4026,1030
36,4018,4291,1967
37,4018,4291,1967
38,742,7214,7215
40,3572,6647,2054
42,2151,9539,5705
43,6788,6789,6790
44,6985,168,7956
45,8277,2466,2285
46,1122,1449,2374
47,5122,1607,5989
48,8563,2719,2241
49,4006,7036,834
51,8230,874,1476
53,2423,946,3478
54,9253,7002,7472
55,9889,1548,2971
56,9889,1548,2971
57,946,4019,1029
59,4136,7380,7381
60,1606,2517,3907
61,2580,7031,8637
63,8509,1868,1819
64,103,5261,3623
67,9421,2202,3173
68,3280,5035,5989
69,2208,2209,5940
70,2580,8637,7031
71,5812,5813,5989
74,9583,9526,2619
75,9063,9064,8137
76,1011,6498,7740
77,2532,7141,6868
78,2241,7203,8985
80,8688,80,7053
84,4203,4283,2079
85,706,5892,8363
86,100,6354,6355
87,5012,99,4456
88,550,5836,9495
89,550,5836,9495
91,6056,5383,2843
92,160,1963,215
93,7115,7031,1868
97,4184,4707,2862
98,4184,4707,2862
99,8300,2418,8271
100,4821,4822,4823
101,3790,5261,8505
102,9870,1252,8053
103,5666,168,6985
104,5866,2514,3
105,9585,7856,1117
106,5757,7445,7446
108,8300,5020,339
109,8300,5020,339
110,2367,2368,2369
112,2094,8681,3938
113,6429,6430,7837
114,2036,912,913
115,8064,6814,9459
116,7487,4088,964
120,4245,4978,823
121,6128,6129,2245
122,6128,6129,2245
123,5812,5813,5035
124,4101,243,1059
125,4699,5285,6907
128,6251,4953,1295
129,5582,3280,6251
132,7600,289,290
133,1266,7379,9686
136,6427,8978,9583
140,8637,2163,2164
141,3938,946,8216
142,8840,5582,8651
143,1096,1147,4260
144,4546,5964,8727
145,4546,5964,8727
146,178,6126,6543
147,1963,220,2029
149,7628,9585,8851
151,2517,3102,8325
152,2517,3102,8325
153,7377,2241,2719
156,4215,706,8659
157,8966,1388,8025
158,8966,1388,8025
159,3347,421,6491
160,328,2036,7731
161,806,2470,1392
162,3624,8193,8725
163,2335,2565,8271
165,5582,8651,8652
167,8061,7392,7393
169,4019,3464,1029
170,6315,168,5274
171,6279,1198,2550
172,268,9098,6626
173,226,9472,600
175,4434,6389,5515
176,5674,5675,884
177,5268,9137,3234
179,1266,5998,9686
180,9468,7187,5240
181,2532,3280,8910
182,3376,4854,4855
183,1878,8159,5812
185,9686,8300,99
186,8042,1005,1006
188,5008,9686,4405
189,5008,9686,4405
190,4301,4580,4581
191,7008,4404,6735
192,2889,3280,8910
194,7443,4848,9454
195,7443,4848,9454
197,241,6122,9765
198,6491,4025,1565
199,6251,199,3022
200,2355,1096,1147
201,2355,1096,1147
202,946,6546,3938
204,4371,1673,851
205,4371,1673,851
206,6065,8669,5989
208,2035,2564,8628
209,9346,3022,4471
210,7703,3513,3514
212,4019,6283,805
213,8383,6957,5977
215,550,3318,3481
217,5787,5788,5789
218,2808,2809,6538
220,4800,8637,3957
221,7487,4088,760
222,9402,1968,6107
225,4957,537,8306
226,734,5109,8064
227,5484,2007,4382
228,5484,2007,4382
229,8574,5894,9976
230,1530,9523,6317
235,2580,472,8216
236,7472,8759,8760
238,8325,5488,7995
240,2565,7571,160
241,3393,806,965
242,1190,3142,672
243,4490,7811,235
244,7823,8463,7115
245,3938,5648,2857
246,3938,5648,2857
247,2351,2435,7601
249,1288,220,1731
250,5582,8651,8652
251,8767,7278,5268
253,1190,672,5839
255,7758,7759,1471
256,2565,5560,7571
258,7647,7648,7469
259,4888,438,4825
261,8903,7805,156
262,7082,59,8230
263,3938,8216,2511
265,6493,6315,168
266,1754,8053,8054
267,1476,6472,7746
268,5372,1830,7472
269,9181,1968,388
270,9181,1968,388
271,9181,1968,388
272,9181,1968,388
274,1096,1147,4260
275,8908,7521,6406
276,6358,1779,5757
277,6358,1779,5757
279,7480,4759,4341
280,7480,4759,4341
285,8363,8725,1552
286,8363,8725,1552
287,3938,8216,5648
288,3076,9526,4097
289,8672,8428,6447
290,8672,8428,6447
291,3196,4800,7115
292,3196,4800,7115
293,519,7008,243
294,1127,54,199
296,6177,2993,2994
297,1445,2866,2217
298,6838,1911,8114
299,5949,5950,3444
300,4382,5484,2668
301,5998,6815,289
303,5613,7106,8315
304,8087,693,3812
305,4505,7307,7571
306,7839,8316,912
307,4558,6128,6129
308,4558,6128,6129
309,6677,5260,7817
310,5484,99,4382
311,4390,3491,2708
312,4390,3491,2708
317,3535,9080,9081
318,7106,9857,5613
319,2423,8120,4088
320,7569,6814,8064
323,9587,2194,7741
325,8768,2335,7600
326,2628,4792,776
327,1793,8436,810
328,3860,5949,5950
330,4042,3764,8864
331,3214,3215,9870
332,6246,9946,9094
333,1670,1671,2406
334,5582,8651,8652
335,5582,8651,8652
336,1770,7724,9879
338,561,7575,7024
339,706,170,6692
341,6663,8306,1235
343,7474,3498,3499
344,6300,7558,8441
346,4948,5516,3546
348,2461,730,8238
349,2461,730,8238
351,5989,5812,5813
352,6405,9251,70
353,6004,5568,3246
354,2580,7031,472
355,2866,5699,4901
356,3938,2094,3478
357,3938,2094,3478
359,1004,6116,9180
360,8426,360,4653
361,3497,9871,9239
362,3497,9871,9239
363,221,1404,9985
364,3938,3478,5648
365,9492,9493,206
367,9710,1973,4257
368,4551,168,6985
369,4773,9023,6788
370,6792,6793,7380
372,343,651,1224
373,343,651,1224
374,7307,8114,7571
380,2036,7731,328
381,2036,7731,328
382,3818,1972,4241
383,9360,8087,693
385,8820,2465,8514
386,8864,2094,7618
387,1489,3770,2080
389,8637,4953,5582
390,1058,7737,4319
394,5582,2580,7031
396,6660,332,7809
397,6660,332,7809
398,4865,4866,8058
399,1382,6208,600
401,2423,4088,8120
402,8651,8652,1878
405,1043,1044,3512
406,8158,2135,8057
409,7472,1830,5372
410,907,8283,3485
411,6299,5855,5856
413,7553,8536,3031
414,2892,2577,7030
415,3728,6118,1515
416,6491,38,1366
418,8300,6047,5342
419,8300,6047,5342
420,8300,6047,5342
421,730,5977,265
425,5927,843,3256
427,7494,7495,4321
428,1337,1338,811
429,8230,4105,4759
431,6397,6398,5614
432,6397,6398,5614
434,9735,4587,4590
435,5582,2094,8681
438,2423,946,3874
439,4672,4673,2241
440,851,6051,6595
441,133,6815,6788
442,2036,7773,1374
443,5582,2580,8796
444,3874,3069,760
446,70,1042,1538
